"id","japanese","english","const"
"1222","新規ﾌｫﾙﾀﾞ","New folder",""
"1223","ﾀﾞﾐｰｺﾝﾃﾝﾂ","Dummy contents",""
"1224","登録　　","Register    ",""
"1225","コンテンツを登録します","Register the contents",""
"1226","変更　　","Change    ",""
"1227","コンテンツの情報を変更します","Change contents information",""
"1228","コンテンツのプロパティを表示します","Display contents property",""
"1229","表示切替","Shift display ",""
"1230","登録画面の表示を変更します","Change the registration page display",""
"1231","登録元","Register-from",""
"1232","登録済","Registered","PD_C_OUTPUTSTR_PISTATE_ALLREG"
"1233","両方","Both",""
"1234","表示に関する設定を変更します","Change settings related to display",""
"1235","ﾀｽｸ構成表示","Display task structure",""
"1236","要件表示","Display requirements",""
"1237","要件関連付け","Requirement  association",""
"1238","戻る　　","Back    ",""
"1239","変更画面を終了します","Exit change page",""
"1240","行複写 ","Copy row ",""
"1241","選択中の行を複写します","Copy the selected row",""
"1242","行削除 ","Delete row ",""
"1243","選択中の行を削除します","Delete the selected row",""
"1244","呼出し元画面に戻ります","Return to the calling page",""
"1245","割当て","Assignment",""
"1246","割当て保留","Reserve assignment",""
"1247","状況表示","Display state",""
"1248","表示種別","Display type",""
"1249","保存履歴","Save history",""
"1250","フォルダ新規作成(&N)","&New folder",""
"1251","フォルダ名変更(&M)","&Modify folder name",""
"1252","フォルダ削除(&D)","&Delete folder ",""
"1253","参照(&O)","Br&Owse",""
"1254","XXX参照","View XXX",""
"1255","コメント操作(&C)","Operate &Comment",""
"1256","クリップから外す","Remove from the clip",""
"1257","クリップに移動","Move to the clip",""
"1258","新規クリップでとめる","Add in new clip",""
"1259","新規ファイル","New file",""
"1260","ダミーコンテンツ","Dummy contents",""
"1261","全選択(&A)","Selete &All",""
"1262","共有コンテンツ登録(&S)","Register &Share contents",""
"1263","他タスクへコピー(&T)","Copy to other &Task",""
"1264","削除(&D)","&Delete",""
"1265","プロパティ(&R)","P&Roperty",""
"1266","エクスプローラで開く(&O)","&Open with explorer",""
"1267","最新(&R)","&Renew",""
"1268","階層作成(&N)","&New level",""
"1269","階層削除(&D)","&Delete level",""
"1270","起動ｱﾌﾟﾘｹｰｼｮﾝ指定","Specify startup application",""
"1271","%1の履歴一覧","History list of %1",""
"1272","指定フォルダの配下に、子フォルダ/ファイルがあるため削除できません","Unable to delete the specified folder since there exists sub folder/file",""
"1273","フォルダ%1は、プロジェクトフォルダに設定されているため削除できません","Unable to delete folder %1, since it is set as project folder",""
"1274","指定フォルダは、コンテンツとして登録されているため削除できません","Unable to delete the specified folder since it has been registered as contents",""
"1275","フォルダ削除に失敗しました","Failed to delete folder",""
"1276","指定されたフォルダまたは配下に、チェックアウト中のものがあるため変更できません","Unable to change since there exists items being checked out in the specified folder or under it",""
"1277","新しいフォルダ名を入力して下さい%r%n%r%n変更元 %1","Please enter new folder name%r%n%r%nChange-from %1",""
"1278","フォルダ名を変更すると履歴情報が失われます。フォルダ名を変更しますか？","The history information will be lost if file name changed, continue anyway?",""
"1279","フォルダ名を変更しますか?","Are you sure to change folder name?",""
"1280","フォルダ名変更に失敗しました","Failed to change folder name",""
"1281","参照しようとした課題は存在しません","The issue to view not exists",""
"1282","参照しようとしたレビュー記録票は存在しません","The review report to reference not exists",""
"1283","参照しようとした障害処理票は存在しません","The defect report that you want to view does not exists",""
"1284","他%1へコピー(&T)","Copy to other %1(&T)",""
"1285","データベース接続中…","Connecting database...",""
"1286","初期情報取得中…","Acquiring initialization information",""
"1287","プロジェクト情報が取得できません","Unable to acquire project information",""
"1288","ツリー作成中…","Creating tree...",""
"1289","ﾂﾘｰ切替","Switch tree ",""
"1290","ツリーの表示形式を切り替えます","Switch the display style of tree",""
"1291","登録の権限がありません","No authority to register",""
"1292","(選択してください)","(Please select)",""
"1293","[全社] ","Whole company",""
"1294","構成管理ツールがありません","There is no configuration management tool",""
"1295","「$\$」フォルダは指定できません","Unable to specify [$\$] folder",""
"1296","格納ﾌｫﾙﾀﾞ : ","Storing folder:",""
